iter	Passed	Remaining
0	2	4580
1	6	6698
2	8	5981
3	11	5576
4	15	6130
5	17	5721
6	21	6014
7	23	5817
8	26	5806
9	27	5461
10	31	5660
11	33	5622
12	36	5524
13	37	5329
14	39	5249
15	41	5162
16	44	5234
17	48	5286
18	49	5123
19	51	5119
20	55	5243
21	58	5236
22	60	5159
23	63	5194
24	65	5186
25	68	5194
26	71	5235
27	75	5317
28	78	5303
29	79	5248
30	81	5200
31	83	5132
32	86	5132
33	88	5132
34	91	5152
35	93	5122
36	97	5185
37	101	5230
38	105	5285
39	107	5261
40	110	5269
41	112	5257
42	115	5274
43	118	5277
44	121	5282
45	123	5262
46	126	5273
47	128	5242
48	132	5281
49	134	5262
50	137	5254
51	140	5281
52	144	5295
53	147	5298
54	150	5309
55	151	5274
56	155	5316
57	158	5293
58	161	5301
59	164	5306
60	166	5297
61	168	5280
62	172	5304
63	174	5279
64	178	5311
65	181	5312
66	184	5317
67	186	5295
68	188	5277
69	190	5248
70	192	5242
71	195	5224
72	197	5212
73	199	5189
74	200	5156
75	202	5135
76	205	5131
77	207	5118
78	210	5129
79	215	5163
80	217	5141
81	219	5129
82	220	5088
83	222	5077
84	226	5103
85	228	5091
86	230	5066
87	233	5066
88	235	5058
89	237	5042
90	239	5030
91	242	5022
92	244	5004
93	247	5011
94	250	5014
95	253	5025
96	255	5019
97	258	5012
98	260	4996
99	262	4986
100	264	4977
101	267	4982
102	269	4961
103	272	4966
104	274	4955
105	276	4944
106	278	4929
107	281	4923
108	283	4915
109	284	4889
110	287	4886
111	290	4891
112	293	4893
113	294	4878
114	297	4868
115	299	4867
116	301	4858
117	303	4846
118	306	4838
119	307	4824
120	310	4828
121	314	4834
122	316	4832
123	318	4823
124	322	4836
125	324	4829
126	327	4834
127	329	4823
128	332	4825
129	334	4814
130	337	4819
131	340	4816
132	342	4807
133	344	4803
134	347	4800
135	349	4794
136	351	4784
137	354	4784
138	356	4774
139	360	4783
140	362	4774
141	365	4776
142	366	4763
143	369	4759
144	371	4750
145	374	4755
146	377	4757
147	380	4756
148	382	4745
149	384	4736
150	385	4724
151	388	4718
152	390	4709
153	392	4703
